title,text,image,link
dunnr,My personal R package of commonly used functions and templates.,content/images/dunnr-sticker.png,https://github.com/taylordunn/dunnr
TidyTuesday,"To practice my data science skills, I like to participate in the [TidyTuesday(https://github.com/rfordatascience/tidytuesday) project.",content/images/tidytuesday.jpg,https://tdunn.ca/#category:TidyTuesday
